exercise,equipment,intensity_level,time_per_set,muscle_group,description
Push-ups,none,medium,30,chest,"SETUP: 1. Start on hands and knees 2. Place hands slightly wider than shoulders 3. Keep fingers spread and pointed forward FORM: 1. Extend legs back to form a straight line from head to heels (beginners can keep knees on ground) 2. Lower your body until chest nearly touches ground 3. Push back up to starting position TIPS: • Keep your body straight like a plank • Look at a spot about 1 foot in front of you • Don't let hips sag or stick up • If too difficult, do from knees BREATHING: Breathe in while lowering, breathe out while pushing up"
Diamond Push-ups,none,high,30,chest,"SETUP: 1. Start on hands and knees 2. Place hands together under chest forming a diamond/triangle with thumbs and index fingers FORM: 1. Extend legs back (beginners keep knees down) 2. Keep elbows close to body (not flaring out) 3. Lower chest toward hands 4. Push back up TIPS: • This is more challenging than regular push-ups • Start with knees down if needed • Keep core tight throughout • If you can't touch chest to ground, go as low as you can with good form BREATHING: Breathe in going down, out going up"
Squats,none,medium,45,legs,"SETUP: 1. Stand with feet shoulder-width apart 2. Point toes slightly outward 3. Keep arms at sides or held out front FORM: 1. Push hips back like you're sitting in a chair 2. Bend knees and lower body 3. Keep chest up and back straight 4. Lower until thighs are parallel to ground (or as far as comfortable) 5. Push through heels to stand back up TIPS: • Look straight ahead • Keep weight in heels • Knees should track over toes • Imagine sliding down a wall • If balance is hard, hold onto a chair BREATHING: Breathe in as you lower, out as you stand"
Jump Squats,none,high,30,legs,"SETUP: 1. Stand with feet shoulder-width apart 2. Arms at sides FORM: 1. Lower into quarter squat position 2. Swing arms back 3. Jump straight up, swinging arms forward and up 4. Land softly by bending knees and hips 5. Immediately prepare for next rep TIPS: • Start with small jumps • Land as quietly as possible • If too difficult, start with regular squats • Keep chest up throughout BREATHING: Breathe out as you jump, in as you land"
Dumbbell Curls,dumbbell,medium,40,arms,"SETUP: 1. Stand tall with feet shoulder-width apart 2. Hold dumbbells at sides, palms facing forward 3. Keep upper arms against sides FORM: 1. Keeping upper arms still, bend elbows to curl weights up 2. Lift until dumbbells reach shoulder level 3. Lower slowly back down 4. Repeat TIPS: • Don't swing body to lift weights • Keep wrists straight • If you need to swing, use lighter weights • Keep elbows at sides throughout BREATHING: Breathe out lifting up, in lowering down"
Barbell Curls,barbell,medium,40,arms,"SETUP: 1. Stand with feet shoulder-width apart 2. Grip barbell with palms facing up, hands shoulder-width apart 3. Let bar hang at thighs FORM: 1. Keep upper arms locked at sides 2. Curl bar up toward shoulders by bending elbows 3. Pause briefly at top 4. Lower slowly back to start TIPS: • Keep back straight throughout • Don't lean back to lift weight • If form breaks, reduce weight • Keep shoulders still BREATHING: Breathe out while curling up, in while lowering"
Dumbbell Rows,dumbbell,medium,35,back,"SETUP: 1. Place right knee and hand on bench 2. Left foot flat on floor 3. Hold dumbbell in left hand, arm fully extended FORM: 1. Keep back flat and parallel to ground 2. Pull dumbbell up to side of ribcage 3. Keep elbow close to body 4. Lower weight with control TIPS: • Don't twist your torso • Look down at bench to keep neck neutral • Squeeze shoulder blade at top • Switch sides after completing reps BREATHING: Breathe out while pulling up, in while lowering"
Plank,none,medium,60,core,"SETUP: 1. Start on forearms and knees 2. Forearms flat on ground, elbows under shoulders 3. Fingers spread for stability FORM: 1. Step feet back to form straight line from head to heels 2. Hold position keeping body rigid 3. Keep hips in line with shoulders TIPS: • Don't let hips sag or lift • Engage core by pulling belly button to spine • Look at floor to keep neck neutral • Start with shorter holds and build up time BREATHING: Maintain steady breathing throughout"
Mountain Climbers,none,high,45,core,"SETUP: 1. Start in push-up position 2. Arms straight, hands shoulder-width apart 3. Body forms straight line FORM: 1. Drive right knee toward chest 2. Quickly switch legs, bringing left knee forward as right leg goes back 3. Alternate legs in running motion TIPS: • Keep hips level, don't bounce up and down • Stay on balls of feet • Move legs as fast as possible while maintaining form • To modify, go slower BREATHING: Keep breathing steady and rhythmic"
Dumbbell Press,dumbbell,medium,35,chest,"SETUP: 1. Lie on back on bench or floor 2. Hold dumbbells at shoulder level 3. Keep feet flat on ground FORM: 1. Press weights straight up until arms are extended 2. Keep dumbbells parallel 3. Lower weights slowly back to shoulder level TIPS: • Keep wrists straight throughout • Don't arch your back • Keep elbows at roughly 45-degree angle • If too heavy, use lighter weights BREATHING: Breathe out while pressing up, in while lowering"
